predicate	description
biolink:catalyzes	Holds between a macromolecular machine (typically an enzyme or ribozyme) and a biochemical reaction or process whose rate it accelerates, without itself being consumed, by lowering the activation energy.
biolink:caused_by	holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other
biolink:causes	holds between two entities where the occurrence, existence, or activity of one causes the occurrence or generation of the other
biolink:chemically_similar_to	holds between one small molecule entity and another that it approximates for purposes of scientific study, in virtue of its exhibiting similar features of the studied entity.
biolink:close_match	a list of terms from different schemas or terminology systems that have a semantically similar but not strictly equivalent, broader, or narrower meaning. Such terms often describe the same general concept from different ontological perspectives.
biolink:coexists_with	holds between two entities that are co-located in the same aggregate object, process, or spatio-temporal region
biolink:coexpressed_with	holds between any two genes or gene products, in which both are generally expressed within a single defined experimental context.
biolink:colocalizes_with	holds between two entities that are observed to be located in the same place.
biolink:completed_by	
biolink:composed_primarily_of	x composed_primarily_of_y if:more than half of the mass of x is made from parts of y.
biolink:condition_ameliorated_by	
biolink:condition_associated_with_gene	holds between a gene and a disease or phenotypic feature that may be influenced, contribute to, or be correlated with the gene or its alleles/products
biolink:condition_exacerbated_by	
biolink:condition_predisposed_by	
biolink:condition_prevented_by	
biolink:condition_promoted_by	
biolink:consumed_by	
biolink:consumes	Holds between a process and an entity that is taken in and depleted by the process; for example a metabolite consumed in a biochemical reaction.
biolink:contains_process	
biolink:contraindicated_in	Holds between a substance, procedure, or activity and a medical condition or circumstance, where an authority has established that the substance, procedure, or activity should not be applied as an intervention in patients with the condition or circumstance because it can result in detrimental outcomes.
biolink:contributes_to	holds between two entities where the occurrence, existence, or activity of one contributes to the occurrence or generation of the other
biolink:contribution_from	
biolink:contributor	Links an information content entity (such as a dataset, publication, or software artefact) to an agent responsible for making contributions to it. Used as an abstract grouping predicate over more specific contribution roles (author, editor, publisher, provider). Corresponds to dct:contributor.
biolink:correlated_with	A relationship that holds between two concepts represented by variables for which a statistical correlation is believed to exist, as demonstrated using a correlation analysis method.
biolink:decreased_amount_in	
biolink:decreased_likelihood_associated_with	
biolink:decreases_amount_or_activity_of	A grouping mixin to help with searching for all the predicates that decrease the amount or activity of the object.
biolink:decreases_sensitivity_to	holds between two chemical entities or genes or gene products where the action or effect of one decreases the susceptibility/sensitivity of a biological entity or system to the other
biolink:derives_from	holds between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity
biolink:derives_into	holds between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity
biolink:develops_from	Holds between two entities where the first develops, by one or more developmental processes, from the second; for example a cell type developing from a precursor cell type or a tissue developing from an embryonic primordium. Corresponds to RO:0002202.
biolink:develops_into	
biolink:diagnoses	a relationship that identifies the nature of (an illness or other problem) by examination of the symptoms.
biolink:directly_physically_interacts_with	A causal mechanism mediated by a direct contact between the effector and target entities (this contact may be weak or strong, transient or stable).
biolink:disease_has_basis_in	A relation that holds between a disease and an entity where the state of the entity has contribution to the disease.
biolink:disease_has_location	A relationship between a disease and an anatomical entity where the disease has one or more features that are located in that entity.
biolink:disrupted_by	describes a relationship where the structure, function, or occurrence of one entity is degraded or interfered with by another.
biolink:disrupts	describes a relationship where one entity degrades or interferes with the structure, function, or occurrence of another.
biolink:editor	"editor of a compiled work such as a book or a periodical (newspaper or an academic journal). Note that in the case of publications which have a containing ""published in"" node property, the editor association may not be attached directly to the embedded child publication, but only made in between the parent's publication node and the editorial agent of the encompassing publication (e.g. only from the Book referenced by the 'published_in' property of a book chapter Publication node)."
biolink:enabled_by	holds between a process and a physical entity, where the physical entity executes the process
biolink:enables	holds between a physical entity and a process, where the physical entity executes the process
biolink:exacerbates_condition	Holds between a substance, procedure, or activity and an existing medical condition (disease or phenotypic feature) where the substance, procedure, or activity worsens some or all aspects of the condition.
biolink:exact_match	holds between two entities that have strictly equivalent meanings, with a high degree of confidence
biolink:expressed_in	holds between a gene or gene product and an anatomical entity in which it is expressed
biolink:expresses	holds between an anatomical entity and gene or gene product that is expressed there
biolink:food_component_of	holds between a one or more chemical entities present in food, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:gene_associated_with_condition	holds between a gene and a disease or phenotypic feature that the gene or its alleles/products may influence, contribute to, or correlate with
biolink:gene_product_of	definition x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of thatf process is either y or something that is ribosomally translated from x
biolink:gene_fusion_with	holds between two independent genes that have fused through translocation, interstitial deletion, or chromosomal inversion to form a new, hybrid gene. Fusion genes are often implicated in various neoplasms and cancers.
biolink:genetic_association	
biolink:genetic_neighborhood_of	holds between two genes located nearby one another on a chromosome.
biolink:genetically_associated_with	A statistical association, observed in genetic studies, between a genetic entity such as a gene, locus, or variant and a phenotype, disease, or trait.
biolink:genetically_interacts_with	holds between two genes whose phenotypic effects are dependent on each other in some way - such that their combined phenotypic effects are the result of some interaction between the activity of their gene products. Examples include epistasis and synthetic lethality.
biolink:has_active_component	
biolink:has_active_ingredient	holds between a drug and a molecular entity in which the latter is a part of the former, and is a biologically active component
biolink:has_adverse_event	An untoward medical occurrence in a patient or clinical investigation subject that happens during treatment with a therapeutic agent. Adverse events may be caused by something other than the drug or therapy being given and may include abnormal laboratory finding, symptoms, or diseases temporally associated with the treatment, whether or not considered related to the treatment. Adverse events are unintended effects that occur when a medication is administered correctly.
biolink:has_author	
biolink:has_biomarker	holds between a disease or phenotypic feature and a measurable chemical entity that is used as an indicator of the presence or state of the disease or feature. # metabolite
biolink:has_catalyst	
biolink:has_chemical_role	A role is particular behaviour which a chemical entity may exhibit.
biolink:has_completed	holds between an entity and a process that the entity is capable of and has completed
biolink:has_contraindication	
biolink:has_contributor	
biolink:has_decreased_amount	Holds between an entity and a component that is present at lower amount than in a reference state or sibling entity; used for comparative compositional statements.
biolink:has_editor	
biolink:has_excipient	holds between a drug and a molecular entities in which the latter is a part of the former, and is a biologically inactive component
biolink:has_food_component	holds between food and one or more chemical entities composing it, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:has_frameshift_variant	
biolink:has_gene_product	holds between a gene and a transcribed and/or translated product generated from it
biolink:has_increased_amount	Holds between an entity and a component that is present at higher amount than in a reference state or sibling entity; used for comparative compositional statements.
biolink:has_input	holds between a process and a continuant, where the continuant is an input into the process
biolink:has_manifestation	
biolink:has_member	Defines a mereological relation between a collection and an item.
biolink:has_metabolite	holds between two molecular entities in which the second one is derived from the first one as a product of metabolism
biolink:has_missense_variant	
biolink:has_mode_of_inheritance	Relates a disease or phenotypic feature to its observed genetic segregation and assumed associated underlying DNA manifestation (i.e. autosomal, sex or mitochondrial chromosome).
biolink:has_molecular_consequence	connects a sequence variant to a class describing the molecular consequence. E.g. SO:0001583
biolink:has_nearby_variant	
biolink:has_negative_upstream_actor	
biolink:has_negative_upstream_or_within_actor	
biolink:has_non_coding_variant	
biolink:has_nonsense_variant	
biolink:has_not_completed	holds between an entity and a process that the entity is capable of, but has not completed
biolink:has_nutrient	one or more nutrients which are growth factors for a living organism
biolink:has_output	holds between a process and a continuant, where the continuant is an output of the process
biolink:has_part	holds between wholes and their parts (material entities or processes)
biolink:has_participant	holds between a process and a continuant, where the continuant is somehow involved in the process
biolink:has_phenotype	holds between a biological entity and a phenotype, where a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). In SNOMEDCT, disorders with keyword 'characterized by' should translate into this predicate.
biolink:has_plasma_membrane_part	Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886], and that plasma membrane has p as part.
biolink:has_positive_upstream_actor	
biolink:has_positive_upstream_or_within_actor	
biolink:has_provider	
biolink:has_publisher	
biolink:has_sequence_location	holds between two nucleic acid entities when the subject can be localized in sequence coordinates on the object. For example, between an exon and a chromosome/contig.
biolink:has_sequence_variant	
biolink:has_side_effect	An unintended, but predictable, secondary effect shown to be correlated with a therapeutic agent, drug or treatment. Side effects happen at normal, recommended doses or treatments, and are unrelated to the intended purpose of the medication.
biolink:has_splice_site_variant	
biolink:has_substrate	Holds between a biochemical reaction or catalytic process and a chemical entity that is acted upon (consumed or transformed) by that reaction.
biolink:has_synonymous_variant	
biolink:has_target	
biolink:has_upstream_actor	
biolink:has_upstream_or_within_actor	
biolink:has_variant_part	holds between a nucleic acid entity and a nucleic acid entity that is a sub-component of it
biolink:homologous_to	holds between two biological entities that have common evolutionary origin
biolink:in_cell_population_with	holds between two genes or gene products that are expressed in the same cell type or population
biolink:in_clinical_trials_for	Holds between an intervention and a medical condition, and reports that a clinical trial is being or has been performed in human patients to test the potential of the intervention to treat the medical condition (e.g. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:in_complex_with	holds between two genes or gene products that are part of (or code for products that are part of) in the same macromolecular complex
biolink:in_linkage_disequilibrium_with	holds between two sequence variants, the presence of which are correlated in a population
biolink:in_pathway_with	holds between two genes or gene products that are part of in the same biological pathway
biolink:in_preclinical_trials_for	Holds between an substance, procedure, or activity and a medical condition, and reports that a pre-clinical study has been performed specifically to test the potential of the substance, procedure, or activity to treat the medical condition (i.e. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:in_taxon	connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
biolink:increased_amount_of	
biolink:increased_likelihood_associated_with	
biolink:increases_amount_or_activity_of	A grouping mixin to help with searching for all the predicates that increase the amount or activity of the object.
biolink:increases_sensitivity_to	holds between two chemical entities or genes or gene products where the action or effect of one increases the susceptibility/sensitivity of a biological entity or system to the other
biolink:indirectly_physically_interacts_with	Holds between two entities that physically interact by way of one or more intermediary entities, rather than through direct physical contact.
biolink:interacts_with	holds between any two entities that directly or indirectly interact with each other
biolink:is_active_ingredient_of	holds between a molecular entity and a drug, in which the former is a part of the latter, and is a biologically active component
biolink:is_chemical_role_of	Holds between a chemical role and a chemical entity that exhibits that role.
biolink:is_diagnosed_by	
biolink:is_excipient_of	holds between a molecular entity and a drug in which the former is a part of the latter, and is a biologically inactive component
biolink:is_frameshift_variant_of	holds between a sequence variant and a gene, such the sequence variant causes a disruption of the translational reading frame, because the number of nucleotides inserted or deleted is not a multiple of three.
biolink:is_input_of	
biolink:is_metabolite_of	holds between two molecular entities in which the first one is derived from the second one as a product of metabolism
biolink:is_missense_variant_of	holds between a gene and a sequence variant, such the sequence variant results in a different amino acid sequence but where the length is preserved.
biolink:is_molecular_consequence_of	
biolink:is_nearby_variant_of	holds between a sequence variant and a gene sequence that the variant is genomically close to.
biolink:is_non_coding_variant_of	holds between a sequence variant and a gene, where the variant does not affect the coding sequence
biolink:is_nonsense_variant_of	holds between a sequence variant and a gene, such the sequence variant results in a premature stop codon
biolink:is_output_of	
biolink:is_sequence_variant_of	holds between a sequence variant and a nucleic acid entity
biolink:is_side_effect_of	
biolink:is_splice_site_variant_of	holds between a sequence variant and a gene, such the sequence variant is in the canonical splice site of one of the gene's exons.
biolink:is_substrate_of	
biolink:is_synonymous_variant_of	holds between a sequence variant and a gene, such the sequence variant is in the coding sequence of the gene, but results in the same amino acid sequence
biolink:lacks_part	Holds between an entity and a component that is absent from it relative to a reference type; for example a cell type lacking a particular organelle or a protein lacking a particular domain. Corresponds to CL:lacks_part / PR:lacks_part.
biolink:likelihood_affected_by	
biolink:likelihood_associated_with	
biolink:located_in	holds between a material entity and a material entity or site within which it is located (but of which it is not considered a part)
biolink:location_of	holds between material entity or site and a material entity that is located within it (but not considered a part of it)
biolink:location_of_disease	
biolink:manifestation_of	that part of a phenomenon which is directly observable or visibly expressed, or which gives evidence to the underlying process; used in SemMedDB for linking things like dysfunctions and processes to some disease or syndrome
biolink:member_of	Defines a mereological relation between a item and a collection.
biolink:mentioned_by	refers to is a relation between one named thing and the information content entity that it makes reference to.
biolink:mentions	refers to is a relation between one information content entity and the named thing that it makes reference to.
biolink:missing_from	
biolink:mode_of_inheritance_of	
biolink:model_of	holds between a thing and some other thing it approximates for purposes of scientific study, in virtue of its exhibiting similar features of the studied entity.
biolink:models	
biolink:models_demonstrating_benefits_for	
biolink:narrow_match	a list of terms from different schemas or terminology systems that have a narrower, more specific meaning. Narrower terms are typically shown as children in a hierarchy or tree.
biolink:negatively_correlated_with	A relationship that holds between two concepts represented by variables for which a statistical correlation is demonstrated, wherein variable values move in opposite directions (i.e. increased in one or presence of one correlates with a decrease or absence of the other).
biolink:not_completed_by	
biolink:nutrient_of	holds between a one or more chemical entities present in food, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:occurs_in	holds between a process and a material entity or site within which the process occurs
biolink:occurs_in_disease	
biolink:occurs_together_in_literature_with	holds between two entities where their co-occurrence is correlated by counts of publications in which both occur, using some threshold of occurrence as defined by the edge provider.
biolink:opposite_of	x is the opposite of y if there exists some distance metric M, and there exists no z such as M(x,z) <= M(x,y) or M(y,z) <= M(y,x). (This description is from RO. Needs to be rephrased).
biolink:orthologous_to	a homology relationship between entities (typically genes) that diverged after a speciation event.
biolink:overlaps	holds between entities that overlap in their extents (materials or processes)
biolink:paralogous_to	a homology relationship that holds between entities (typically genes) that diverged after a duplication event.
biolink:part_of	holds between parts and wholes (material entities or processes)
biolink:participates_in	holds between a continuant and a process, where the continuant is somehow involved in the process
biolink:pharmacologically_interacts_with	holds between two pharmacologically active chemicals (typically drugs), where one alters the availability, efficacy, or toxicity of the other in the body when taken simultaneously - typically by altering how the body processes the chemical (pharmacokinetics) or how the chemical acts on the body (pharmacodynamics).
biolink:phenotype_of	
biolink:physically_interacts_with	holds between two entities that make physical contact as part of some interaction. does not imply a causal relationship.
biolink:plasma_membrane_part_of	
biolink:positively_correlated_with	A relationship that holds between two concepts represented by variables for which a statistical correlation is demonstrated, wherein variable values move together in the same direction (i.e. increased in one or presence of one correlates with an increase or presence of the other).
biolink:preceded_by	holds between two processes, where the other is completed before the one begins
biolink:precedes	holds between two processes, where one completes before the other begins
biolink:predisposes_to_condition	Holds between two entities where the presence or application of one increases the chance that the other will come to be.
biolink:preventative_for_condition	Holds between a substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the substance, procedure, or activity is able to prevent it manifesting in the first place.
biolink:primarily_composed_of	
biolink:produced_by	
biolink:produces	holds between a material entity and a product that is generated through the intentional actions or functioning of the material entity
biolink:promotes_condition	Holds between a substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the substance, procedure, or activity is able to promote it manifesting in the first place.
biolink:provider	person, group, organization or project that provides a piece of information.
biolink:publisher	"organization or person responsible for publishing books, periodicals, podcasts, games or software. Note that in the case of publications which have a containing ""published in"" node property, the publisher association may not be attached directly to the embedded child publication, but only made in between the parent's publication node and the publisher agent of the encompassing publication (e.g. only from the Journal referenced by the 'published_in' property of an journal article Publication node)."
biolink:regulated_by	
biolink:regulates	A more specific form of affects, that implies the effect results from a biologically evolved control mechanism. Gene-affects-gene relationships will (almost) always involve regulation. Exogenous/environmental chemical-affects-gene relationships are not cases of regulation in this definition. Instead these would be captured using the 'affects' predicate, or possibly one of the 'interacts with' predicates depending on the nature of the interaction.
biolink:related_condition	Links a genotype or genetic variant to a condition (disease or phenotypic feature) that is associated with it.
biolink:related_to	A relationship that is asserted between two named things
biolink:related_to_at_concept_level	Represents a relationship held between terminology components that describe the conceptual model of a domain.
biolink:related_to_at_instance_level	Represents a relationship held between two instances of a data classes. Much like an assertion component, in an ABox, these represent facts associated with the conceptual model.
biolink:resistance_associated_with	
biolink:response_associated_with	
biolink:same_as	holds between two entities that are considered equivalent to each other
biolink:sensitivity_affected_by	
biolink:sensitivity_associated_with	
biolink:sensitivity_decreased_by	
biolink:sensitivity_increased_by	
biolink:sequence_location_of	
biolink:similar_to	holds between an entity and some other entity with similar features.
biolink:studied_to_treat	Holds between an substance, procedure, or activity and a medical condition, and reports that one or more scientific study has been performed to specifically test the potential of the substance, procedure, or activity to treat the medical condition (i.e. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:subclass_of	holds between two classes where the domain class is a specialization of the range class
biolink:subject_of_treatment_application_or_study_for_treatment_by	
biolink:superclass_of	holds between two classes where the domain class is a super class of the range class
biolink:target_for	A gene is a target of a disease when its products are druggable and when a drug interaction with the gene product could have a therapeutic effect
biolink:taxon_of	
biolink:temporally_related_to	holds between two entities with a temporal relationship
biolink:tested_by_clinical_trials_of	
biolink:tested_by_preclinical_trials_of	
biolink:transcribed_from	x is transcribed from y if and only if x is synthesized from template y
biolink:transcribed_to	inverse of transcribed from
biolink:translates_to	x (amino acid chain/polypeptide) is the ribosomal translation of y (transcript) if and only if a ribosome reads y (transcript) through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces x (amino acid chain/polypeptide)
biolink:translation_of	inverse of translates to
biolink:treated_by	
biolink:treated_in_studies_by	
biolink:treatment_applications_from	
biolink:treats	Holds between an intervention (substance, procedure, or activity) and a medical condition (disease or phenotypic feature), and states that the intervention is, in some population(s), able to ameliorate, stabilize, or cure the condition or delay, prevent, or reduce the risk of it manifesting in the first place. ‘Treats’ edges should be asserted (knowledge_level: assertion) only in cases where there is strong supporting evidence - i.e. in some population(s) the intervention is approved for the condition, passed phase 3 or in phase 4 trials for the condition, or is an otherwise established treatment in the medical community (e.g. a widely-accepted or formally recommended off-label use). In the absence of such evidence, weaker predicates should be used in asserted edges (e.g. ‘in clinical trials for’ or ‘beneficial in models of’). ‘Treats’ edges based on weaker or indirect forms of evidence can however be created as predictions (knowledge_level: prediction) and should point to the more foundational asserted edges that support them.
biolink:treats_or_applied_or_studied_to_treat	Holds between an substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the substance, procedure, or activity is able to treat the condition, has been observed to be taken/prescribed in practice with the intent of treating the condition, or has been interrogated in a scientific study that hypothesized an ability to treat the condition (in humans or other biological systems/organisms).
biolink:variant_part_of	
biolink:was_tested_for_effect_of	
biolink:was_tested_for_effect_on	Reports that the subject was interrogated in an experiment to determine how it may affect the object. A relationship between some perturbing agent (usually a chemical compound) and some target entity, where the affect of the perturbing agent on the target entity was interrogated in a particular assay. The target might be a particular protein, tissue, phenotype, whole organism, cell line, or other type of biological entity.
biolink:xenologous_to	a homology relationship characterized by an interspecies (horizontal) transfer since the common ancestor.
